county,candidate,votes,numbers
Tompkins,Bernie Sanders,9298,3
Guadalupe,Ted Cruz,9283,5
Columbia,Donald Trump,9177,2
Broome,Bernie Sanders,9176,3
Marshall,Donald Trump,9115,2
Randolph,Donald Trump,9108,2
Linn,Donald Trump,9085,2
Aiken,Donald Trump,9027,2
Calhoun,Donald Trump,8960,2
Dougherty,Hillary Clinton,8891,1
Columbiana,Donald Trump,8823,2
Kosciusko,Donald Trump,8748,2
Cowlitz,Donald Trump,8727,2
Sullivan,Donald Trump,8718,2
Etowah,Donald Trump,8657,2
Grayson,Ted Cruz,8647,5
Hanover,Donald Trump,8586,2
Wilson,Donald Trump,8570,2
Nash,Hillary Clinton,8554,1
Vigo,Donald Trump,8539,2
Elmore,Donald Trump,8525,2
Lewis,Donald Trump,8513,2
Nevada,Bernie Sanders,8472,3
Robeson,Hillary Clinton,8457,1
Klamath,Donald Trump,8451,2
Walker,Donald Trump,8394,2
Gregg,Ted Cruz,8363,5
Onslow,Donald Trump,8343,2
Cape May,Donald Trump,8338,2
Gallatin,Donald Trump,8313,2
Henderson,Ted Cruz,8301,5
Albemarle,Hillary Clinton,8284,1
Bartow,Donald Trump,8281,2
Hays,Ted Cruz,8254,5
Madera,Donald Trump,8247,2
Limestone,Donald Trump,8198,2
Houston,Donald Trump,8171,2
Pennington,Donald Trump,8162,2
Cascade,Donald Trump,8129,2
Canadian,Ted Cruz,8105,5
Monongalia,Bernie Sanders,8096,3
Grand Traverse,Bernie Sanders,8091,3
Northumberland,Donald Trump,8087,2
Kaufman,Ted Cruz,8027,5
Blount,Donald Trump,8009,2
Rockdale,Hillary Clinton,7930,1
Bartholomew,Donald Trump,7918,2
Walton,Donald Trump,7910,2
Clearfield,Donald Trump,7862,2
Berrien,Donald Trump,7817,2
Bonneville,Ted Cruz,7794,5
Grant,Donald Trump,7778,2
Sevier,Donald Trump,7686,2
Cass,Ted Cruz,7671,5
Indiana,Donald Trump,7585,2
Armstrong,Donald Trump,7578,2
Allegan,Ted Cruz,7530,5
Saline,Ted Cruz,7507,5
Lauderdale,Donald Trump,7502,2
Kendall,Bernie Sanders,7482,3
Highlands,Donald Trump,7480,2
Crawford,Donald Trump,7471,2
Floyd,Donald Trump,7456,2
Warrick,Donald Trump,7450,2
Sandoval,Hillary Clinton,7448,1
Gadsden,Hillary Clinton,7446,1
Lapeer,Donald Trump,7446,2
Skagit,Donald Trump,7444,2
Hartford,Hillary Clinton,7413,1
Alamance,Hillary Clinton,7374,1
Napa,Hillary Clinton,7370,1
Cecil,Donald Trump,7348,2
Moore,Donald Trump,7347,2
Stafford,Donald Trump,7339,2
Cape Girardeau,Ted Cruz,7332,5
Raleigh,Donald Trump,7325,2
Newton,Hillary Clinton,7269,1
Hunt,Ted Cruz,7249,5
Ector,Ted Cruz,7232,5
Tom Green,Ted Cruz,7231,5
Rockwall,Ted Cruz,7202,5
Sauk,Bernie Sanders,7195,3
Cache,Ted Cruz,7172,5
Merced,Hillary Clinton,7169,1
Pickens,Donald Trump,7136,2
Clarke,Hillary Clinton,7089,1
Carteret,Donald Trump,7077,2
Weber,Ted Cruz,7058,5
Bowie,Ted Cruz,7057,5
Kings,Donald Trump,7046,2
Wichita,Ted Cruz,7008,5
Eaton,Bernie Sanders,7007,3
Wicomico,Donald Trump,6998,2
Lawrence,Donald Trump,6964,2
LaSalle,Donald Trump,6950,2
Dorchester,Donald Trump,6949,2
Coconino,Bernie Sanders,6941,3
Island,Donald Trump,6930,2
Starr,Hillary Clinton,6918,1
St. Croix,Ted Cruz,6892,5
Angelina,Ted Cruz,6875,5
Schenectady,Bernie Sanders,6862,3
Spotsylvania,Donald Trump,6858,2
Washoe,Donald Trump,6850,2
Yamhill,Donald Trump,6843,2
Clallam,Donald Trump,6715,2
Larimer,Bernie Sanders,6664,3
Macon,Donald Trump,6655,2
Rensselaer,Bernie Sanders,6649,3
Dearborn,Donald Trump,6617,2
Muskingum,John Kasich,6599,4
St. Mary's,Donald Trump,6576,2
Bedford,Donald Trump,6540,2
Bradford,Donald Trump,6501,2
Edgecombe,Hillary Clinton,6411,1
Kankakee,Donald Trump,6403,2
Putnam,Donald Trump,6395,2
Jones,Donald Trump,6388,2
Calvert,Donald Trump,6360,2
Hardin,Ted Cruz,6354,5
Cochise,Donald Trump,6339,2
Talladega,Donald Trump,6304,2
Lincoln,Donald Trump,6293,2
Ravalli,Donald Trump,6281,2
Allegany,Donald Trump,6272,2
Faulkner,Ted Cruz,6228,5
Halifax,Hillary Clinton,6224,1
Lewis and Clark,Donald Trump,6194,2
Cole,Ted Cruz,6159,5
Oswego,Donald Trump,6151,2
Calumet,Ted Cruz,6139,5
Ashtabula,Donald Trump,6127,2
Bradley,Donald Trump,6103,2
Arapahoe,Bernie Sanders,6086,3
Sebastian,Donald Trump,6030,2
Tuscarawas,Donald Trump,6025,2
Minnehaha,Hillary Clinton,6018,1
Belknap,Bernie Sanders,5990,3
Cabell,Donald Trump,5977,2
Carbon,Donald Trump,5977,2
Coos,Donald Trump,5961,2
Steuben,Donald Trump,5957,2
Van Zandt,Ted Cruz,5954,5
Hood,Ted Cruz,5948,5
Whitfield,Donald Trump,5945,2
Wilkes,Donald Trump,5889,2
Rogers,Ted Cruz,5850,5
Chippewa,Donald Trump,5832,2
Watauga,Bernie Sanders,5811,3
Liberty,Ted Cruz,5805,5
Platte,Ted Cruz,5798,5
James City,Marco Rubio,5780,6
Victoria,Ted Cruz,5750,5
San Juan,Donald Trump,5749,2
Imperial,Hillary Clinton,5743,1
Scioto,Donald Trump,5729,2
Chelan,Donald Trump,5717,2
Athens,Bernie Sanders,5663,3
Roanoke,Donald Trump,5650,2
Craven,Donald Trump,5608,2
Hawaii,Bernie Sanders,5605,3
Caldwell,Donald Trump,5599,2
Garland,Donald Trump,5538,2
Marquette,Bernie Sanders,5530,3
Glynn,Donald Trump,5516,2
Wise,Ted Cruz,5513,5
Mason,Donald Trump,5491,2
Darke,Donald Trump,5437,2
Perry,Donald Trump,5424,2
Potter,Ted Cruz,5400,5
Autauga,Donald Trump,5387,2
Belmont,Donald Trump,5313,2
Chilton,Donald Trump,5273,2
Huntingdon,Donald Trump,5230,2
Nacogdoches,Ted Cruz,5229,5
Stanly,Donald Trump,5202,2
Lamar,Donald Trump,5197,2
Queen Anne's,Donald Trump,5195,2
Waupaca,Ted Cruz,5194,5
Lowndes,Donald Trump,5194,2
Daviess,Bernie Sanders,5188,3
Pike,Donald Trump,5187,2
Lenawee,Donald Trump,5167,2
Kenton,Hillary Clinton,5146,1
Ashland,John Kasich,5139,4
Augusta,Donald Trump,5117,2
Woodford,Ted Cruz,5091,5
Taney,Donald Trump,5086,2
Stevens,Donald Trump,5075,2
Umatilla,Donald Trump,5065,2
Sandusky,John Kasich,5064,4
Susquehanna,Donald Trump,5027,2
Vermilion,Donald Trump,5021,2
Preble,Donald Trump,5019,2
Auglaize,John Kasich,4998,4
Plymouth,Bernie Sanders,4997,3
Darlington,Hillary Clinton,4988,1
Burke,Donald Trump,4985,2
Tuolumne,Donald Trump,4949,2
Harnett,Donald Trump,4943,2
Georgetown,Hillary Clinton,4931,1
Ross,John Kasich,4918,4
Rio Arriba,Hillary Clinton,4915,1
Calaveras,Donald Trump,4902,2
Fauquier,Donald Trump,4888,2
Pickaway,John Kasich,4885,4
Rusk,Ted Cruz,4884,5
Kerr,Ted Cruz,4846,5
Venango,Donald Trump,4808,2
McKinley,Hillary Clinton,4761,1
Lenoir,Hillary Clinton,4731,1
Twin Falls,Ted Cruz,4717,5
Sutter,Donald Trump,4697,2
Granville,Hillary Clinton,4693,1
Dubois,Donald Trump,4692,2
Buchanan,Donald Trump,4691,2
